"","지번주소","lon","lat","아파트"
"306","충청남도 천안시 용곡동 334",127.144591,36.794718,"용곡마을아이파크"
"307","충청남도 천안시 용곡동 600",127.13701,36.788548,"용곡삼성쉐르빌"
"308","충청남도 천안시 용곡동 482-16",127.131984,36.789311,"용곡더쉴"
"309","충청남도 천안시 용곡동 609",127.138966,36.790138,"용곡동일하이빌하이씨티4단지"
"310","충청남도 천안시 용곡동 571",127.140651,36.780151,"용곡1차세광엔리치타워"
"311","충청남도 천안시 신방동 920",127.126312,36.787486,"초원그린타운"
"312","충청남도 천안시 신방동 895",127.132292,36.792447,"두레현대1"
"313","충청남도 천안시 신방동 1557",127.13287,36.776284,"신방한성필하우스"
"314","충청남도 천안시 신방동 874",127.130623,36.792541,"성지새말2"
"315","충청남도 천안시 신방동 909",127.129935,36.78719,"한라동백2"
"316","충청남도 천안시 신방동 905",127.130041,36.789274,"향촌현대"
"317","충청남도 천안시 신방동 873",127.130065,36.794111,"성지새말1"
"318","충청남도 천안시 신방동 22",127.132994,36.794671,"현대2"
"319","충청남도 천안시 신방동 869",127.131836,36.793953,"신동아목련"
"320","충청남도 천안시 신방동 897",127.130275,36.790957,"두레현대2"
"321","충청남도 천안시 신방동 1893",127.13369,36.771043,"신방한라비발디"
"322","충청남도 천안시 신방동 902",127.119945,36.789657,"삼일원앙"
"323","충청남도 천안시 신방동 1911",127.13189,36.771954,"신방푸르지오"
"324","충청남도 천안시 신방동 935",127.127286,36.791799,"신방동대주피오레"
"325","충청남도 천안시 신방동 228-22",127.137835,36.773593,"현대"
"326","충청남도 천안시 쌍용동 553-1",127.132281,36.802456,"임광"
"327","충청남도 천안시 쌍용동 555-2",127.132803,36.80116,"쌍용신성"
"328","충청남도 천안시 신부동 495-8",127.161917,36.82029,"한화"
"329","충청남도 천안시 신부동 970",127.154947,36.821639,"방죽안휴먼시아"
"330","충청남도 천안시 신부동 545",127.158956,36.823712,"대림한들"
"331","충청남도 천안시 신부동 889-1",127.150292,36.821888,"청광플러스원"
"332","충청남도 천안시 신부동 451-8",127.152856,36.818198,"스카이타워"
"333","충청남도 천안시 신부동 672",127.16085,36.821533,"대림한숲"
"334","충청남도 천안시 신부동 541",127.15421,36.823763,"동아태조"
"335","충청남도 천안시 신부동 544",127.156546,36.823759,"대림한내"
"336","충청남도 천안시 신부동 497-2",127.162242,36.82002,"중앙"
"337","충청남도 천안시 신부동 85",127.157491,36.815338,"경남아너스빌"
"338","충청남도 천안시 안서동 304-1",127.188934,36.838025,"동보스타빌"
"339","충청남도 천안시 안서동 365-3",127.188934,36.838025,"안서금호어울림"
"340","충청남도 천안시 안서동 223-3",127.188934,36.838025,"고운여의주"
"341","충청남도 천안시 안서동 181",127.188934,36.838025,"대림1차이편한세상"
"342","충청남도 천안시 목천읍 서리 73-1",127.234231,36.783561,"재동타워"
"343","충청남도 천안시 목천읍 신계리 134-3",127.210463,36.772517,"목천이수프라임"
"344","충청남도 천안시 목천읍 신계리 422",127.193881,36.772017,"천안목천동우1차"
"345","충청남도 천안시 목천읍 신계리 166-36",127.210331,36.776746,"목천신도브래뉴2차"
